Member types,Industries,Locations,Topics,,,,,,,,,,,,
Member type ,Sector/department ,Headquarters/location (user & org),ENERGY ,BUSINESS ,EDUCATION,DESIGN ,ECONOMICS ,BIOLOGICAL CYCLE ,TECHNICAL CYCLE ,CITIES,MANUFACTURING & ENGINEERING,FINANCE & LEGAL,MATERIALS ,TECHNOLOGY,GOVERNMENT
Global Partner,Agriculture,UK,Renewable energy,Entrepreneurship,Higher Education,Product life extension,Economic systems ,Natural capital,Repair,Built environment,Remanufacturing,Funding,Material reutilisation,Telecommunications,Regulatory frameworks 
Corporate,Automotive and Transport Manufacturing,USA,Waste to energy,Access over ownership,Secondary education,Closed loop design,Social capital,Water,Reuse,Mobility,Additive manufacturing,Financial solutions,Material science,Data,Public procurement & infrastructure
Pioneer University,Built environment,Brazil,Bioenergy ,Emerging trends,Primary education,Design for disassembly,Employment,Fertiliser,Refurbishment,Urban planning,Manufacturing,Money,Chemicals,Internet of Things,Business support schemes
Government & Cities,Chemicals,Australia,,Product as Service,Online Learning,Biomimicry,Measurement & KPI's,Land management,Recycling,Buildings design,Electrical engineering,,Metals,Information management,Fiscal frameworks
Emerging Innovator,EEE & ICT,Netherlands,,Industrial symbiosis,Training,Cradle to Cradle,Emerging markets,Agriculture,Maintenance,,Mechanical engineering,,Plastics & polymers,Tagging & tracking ,Collaboration platforms
Affiliate,Energy,Denmark,,Incentive structure,Systems thinking,Service design,Prices & markets,Composting,Resource productivity ,,Civil engineering,,Bio-materials,Automation,Education & public awareness
SME/Multiplier,Financial services and investment,France,,Change management,Research,Life cycle assessment,,Anaerobic digestion,Leasing,,Distributed manufacturing,,Rare earth metals,Electronics,Resource management
,FMCG ,Switzerland,,New business models,Consultancy,Standardisation,,Food & beverages,Recovery,,,,Fibres & Textiles,Enabling technology,Policy development
,Furniture and textile and flooring,Sweden,,,,Certification ,,Biochemical extraction,Supply chain,,,,,,People & Society
,Research and professional services,Italy,,,,Packaging ,,,Sorting,,,,,,
,Manufacturing ,Spain,,,,,,,,,,,,,
,Sustainability,Luxembourg,,,,,,,,,,,,,
,Education,Belgium,,,,,,,,,,,,,
,Retail,Republic of Ireland ,,,,,,,,,,,,,
,Telecommunications,UAE,,,,,,,,,,,,,
,Public administration,China,,,,,,,,,,,,,
,Non Profit,Taiwan,,,,,,,,,,,,,
,Transport and logistics,Germany,,,,,,,,,,,,,
,Software & online services,Mexico,,,,,,,,,,,,,
,,Iceland,,,,,,,,,,,,,
,,Global,,,,,,,,,,,,,
